66;PEDRO;VASCONCELOS;08/05/1999;05/02/2022;24;2640;
67;APARECIDA;QUEIROS;19/04/1984;27/09/2021;39;3960;
68;MARIA;CRISTINA;12/05/1975;04/09/2020;48;5280;
69;YURI;TAKEDA;13/05/1988;29/01/2020;35;5280;
70;GEONISSE;CORREIA;25/02/1997;17/04/2021;26;3960;
71;GUSTAVO;BRITO;04/08/1981;25/11/2020;42;3960;
72;EMILIA;MORETTO;12/01/1981;16/11/2021;42;2640;
73;JOAO;RODRIGUES;14/11/2000;26/11/2019;22;5280;
74;DENILSON;CAMARGO;17/09/1996;30/09/2019;27;6600;
75;JESUS;COSTA;28/11/1994;24/03/2020;28;5280;
76;LEANDRA;MACEDO;05/01/1991;09/05/2020;32;5280;
77;ELISA;LIMA;05/05/1982;08/03/2023;41;1320;
78;JOSE;SILVA;24/01/1980;02/04/2020;43;5280;
79;CARLA;JUSTO;23/07/1987;25/10/2020;36;3960;
80;ELAINE;SIQUEIRA;26/07/1995;02/07/2019;28;6600;
81;LEONARDO;SANTOS;07/09/1995;21/06/2020;28;5280;
82;CARLOS;CELESTINO;21/03/2001;08/03/2021;22;3960;
83;FELIPE;CARVALHO;26/09/1997;06/06/2019;26;6600;
84;JASON;MACHADO;26/02/1994;09/10/2019;29;5280;
85;HELOISA;MAGALHAES;25/04/1982;01/11/2021;41;2640;
86;CLEITON;SOUZA;26/01/2002;11/09/2022;21;2640;
87;ROBISOM;MARTINS;24/04/1977;13/10/2019;46;5280;
88;IGOR;NASCIMENTO;16/07/1988;01/06/2020;35;5280;
89;LETICIA;SILVA;10/03/1982;14/12/2022;41;1320;
90;NILCE;NASCIMENTO;06/02/1994;15/09/2023;29;1320;
91;LEONARDO;MOREIRA;21/12/2001;04/06/2017;21;9240;
92;MARLENE;GUIMARAES;17/07/1982;01/10/2021;41;3960;
93;MICHEL;SANTOS;05/09/1989;01/08/2019;34;6600;
94;ADEMAR;PEDREIRA;27/10/1979;27/11/2020;43;3960;
95;DANILO;BASTOS;30/05/1997;09/03/2020;26;5280;
96;MATHEUS;SILVEIRA;17/11/1994;07/02/2022;28;2640;
97;OLIVIA;DINIZ;09/04/1978;17/01/2022;45;2640;
98;LEON;DIAS;29/04/1992;14/07/2018;31;7920;
99;RODOLFO;SANTOS;15/01/2003;17/11/2021;20;2640;
100;LUZIA;ROCHA;03/04/1990;02/01/2023;33;1320;
101;MIGUEL;MATOS;01/10/1984;09/07/2021;39;3960;
102;ELIEL;DIAS;28/04/1979;07/01/2018;44;7920;
103;DENISE;NOBREGA;14/11/1983;13/03/2022;39;2640;
104;JACOB;MACEDO;04/06/1978;07/11/2018;45;6600;
105;LIDIA;CODEIRO;26/09/1989;02/10/2023;34;1320;
106;ERNESTO;SILVA;09/03/1993;24/06/2018;30;7920;
107;OSVALDO;CRUZ;08/01/1980;29/05/2021;43;3960;
108;MARIANA;MEDEIROS;31/05/1975;07/06/2018;48;7920;
109;CAUE;SILVA;18/03/1983;14/07/2018;40;7920;
110;LUIZ;BARROS;09/12/2001;03/09/2020;21;5280;
111;JOSE;SOUZA;25/03/1995;16/09/2018;28;7920;
112;CLEBER;MACHADO;02/05/1985;10/12/2017;38;7920;
113;VICTOR;MENEZES;11/02/1995;08/09/2018;28;7920;
114;JULIA;FERREIRA;19/02/1991;20/04/2022;32;2640;
115;JOAO;CASTRO;04/08/1978;13/10/2018;45;6600;
116;ELIVELTON;RODRIGUES;22/01/2000;08/12/2020;23;3960;
117;BOBBY;BOBSON;22/07/1984;23/05/2020;39;3850;
